branch,x,cp_min,cp_max,u_model
pressure,0.08935194247744362,0.5396614736960789,0.5608094810816211,0.010574003692771117
pressure,0.09183651839348371,0.5333512301281439,0.5541432400153093,0.010396004943582726
pressure,0.09432109430952382,0.5273768676183772,0.5477703258852961,0.010196729133459426
pressure,0.09680567022556391,0.5214025051086105,0.5413974117552828,0.009997453323336125
pressure,0.09929024614160402,0.5154281425988437,0.5350244976252694,0.009798177513212825
pressure,0.10177482205764411,0.509453780089077,0.5286515834952562,0.00959890170308958
pressure,0.10425939797368422,0.5034794175793104,0.5222786693652428,0.009399625892966224
pressure,0.10674397388972431,0.4975146612005274,0.5160528539652877,0.009269096382380132
pressure,0.10922854980576442,0.4916083013610086,0.5107212650525708,0.00955648184578109
pressure,0.11171312572180452,0.48570194152148977,0.505389676139854,0.009843867309182103
pressure,0.11419770163784462,0.4797955816819709,0.5000580872271371,0.010131252772583088
pressure,0.11668227755388472,0.4738892218424521,0.4947264983144202,0.010418638235984073
pressure,0.11916685346992481,0.46798286200293326,0.4893949094017034,0.010706023699385059
pressure,0.12165142938596492,0.46207650216341445,0.4840633204889865,0.010993409162786016
pressure,0.12413600530200501,0.4571130992784278,0.4795399677416666,0.011213434231619385
pressure,0.12662058121804512,0.4532023421291965,0.4759188686432531,0.011358263257028295
pressure,0.1291051571340852,0.44924683494934764,0.4722977695448397,0.011525467297746034
pressure,0.1315897330501253,0.4452500318809462,0.4686766704464263,0.011713319282740053
pressure,0.13407430896616543,0.4412532288125447,0.46505557134801284,0.011901171267734073
pressure,0.13655888488220552,0.43725642574414325,0.46143447224959944,0.012089023252728093
pressure,0.13904346079824562,0.4332596226757418,0.45781337315118603,0.012276875237722112
pressure,0.1415280367142857,0.4298923640717506,0.45474212554978743,0.012424880739018429
pressure,0.14401261263032583,0.42670431039409046,0.4518273976266421,0.012561543616275817
pressure,0.14649718854636593,0.42351625671643034,0.4489126697034968,0.012698206493533232
pressure,0.14898176446240602,0.4203282030387703,0.44599794178035146,0.012834869370790591
pressure,0.1514663403784461,0.41714014936111016,0.4430832138572061,0.012971532248047979
pressure,0.15395091629448623,0.41395209568345004,0.44016848593406077,0.013108195125305366
pressure,0.15643549221052633,0.4108061142122873,0.4373073500437981,0.013250617915755408
pressure,0.15892006812656642,0.40812428588197386,0.4350374574577942,0.013456585787910175
pressure,0.16140464404260652,0.40544245755166036,0.43276756487179036,0.013662553660064997
pressure,0.1638892199586466,0.4027606292213469,0.43049767228578645,0.013868521532219763
pressure,0.16637379587468673,0.4000788008910334,0.42822777969978254,0.014074489404374557
pressure,0.16885837179072682,0.39739697256071993,0.42595788711377863,0.014280457276529351
pressure,0.17134294770676692,0.39471514423040643,0.4236879945277748,0.014486425148684173
pressure,0.173827523622807,0.39254179226736946,0.4216242663980096,0.014541237065320067
pressure,0.17631209953884713,0.3912308980126932,0.4199102263479981,0.01433966416765245
pressure,0.17879667545488723,0.38988880587916436,0.4181961862979866,0.014153690209411124
pressure,0.18128125137092732,0.38850401646022853,0.41648214624797514,0.013989064893873304
pressure,0.18376582728696741,0.3871192270412927,0.41476810619796367,0.013824439578335485
pressure,0.18625040320300754,0.3857344376223569,0.41305406614795215,0.013659814262797637
pressure,0.18873497911904763,0.38434964820342105,0.4113400260979407,0.013495188947259817
pressure,0.19121955503508772,0.38286286183669316,0.4093672939617334,0.013252216062520111
pressure,0.19370413095112782,0.3813232232653852,0.4072605142156823,0.01296864547514856
pressure,0.19618870686716794,0.3797835846940772,0.4051537344696313,0.012685074887777065
pressure,0.19867328278320803,0.37824394612276924,0.40304695472358026,0.012401504300405514
pressure,0.20115785869924813,0.3767043075514612,0.40094017497752926,0.012117933713034018
pressure,0.20364243461528822,0.37516466898015327,0.3988333952314782,0.011834363125662467
pressure,0.20612701053132831,0.37362503040884526,0.3967266154854272,0.011550792538290972
pressure,0.20861158644736844,0.3719265972732932,0.3943419081113841,0.011207655419045448
pressure,0.21109616236340853,0.370219112439466,0.391941358148252,0.010861122854393002
pressure,0.21358073827944862,0.3685116276056388,0.3895408081851199,0.010514590289740527
pressure,0.21606531419548872,0.36680414277181167,0.3871402582219878,0.010168057725088053
pressure,0.21854989011152884,0.3650966579379845,0.3847397082588557,0.009821525160435579
pressure,0.22103446602756893,0.3633752831158396,0.38233915829572357,0.00948193758994198
pressure,0.22351904194360903,0.36147749749926306,0.3799033144854441,0.009212908493090533
pressure,0.22600361785964912,0.3592603446071057,0.37735184556788687,0.00904575048039058
pressure,0.22848819377568924,0.35704319171494825,0.37480037665032956,0.008878592467690655
pressure,0.23097276969172933,0.3548260388227909,0.37224890773277225,0.008711434454990674
pressure,0.23345734560776943,0.3526088859306335,0.369697438815215,0.008544276442290749
pressure,0.23594192152380952,0.3503917330384761,0.36714596989765774,0.008377118429590824
pressure,0.23842649743984962,0.34817458014631875,0.36459450098010043,0.008209960416890844
pressure,0.24091107335588974,0.34581132630648814,0.36227034589855245,0.008229509796032153
pressure,0.24339564927192983,0.34331409752645764,0.3601546381821377,0.00842027032784004
pressure,0.24588022518796993,0.3408168687464272,0.35803893046572305,0.008611030859647928
pressure,0.24836480110401002,0.33831963996639675,0.3559232227493083,0.008801791391455788
pressure,0.2508493770200501,0.3357570439138474,0.3538075150328936,0.009025235559523087
pressure,0.25333395293609023,0.33316618394028813,0.35169180731647887,0.009262811688095368
pressure,0.25581852885213036,0.33057532396672884,0.34957609960006414,0.00950038781666765
pressure,0.2583031047681704,0.3287661928009116,0.3481804944633112,0.009707150831199773
pressure,0.26078768068421054,0.32714787297624487,0.3469606583881949,0.009906392705975015
pressure,0.2632722566002506,0.3255295531515782,0.3457408223130786,0.0101056345807502
pressure,0.26575683251629073,0.3239112333269115,0.34452098623796235,0.010304876455525414
pressure,0.26824140843233085,0.3222929135022448,0.34330115016284607,0.010504118330300627
pressure,0.2707259843483709,0.3206745936775781,0.3420813140877298,0.01070336020507584
pressure,0.27321056026441104,0.31912219045772133,0.34087764372196605,0.010877726632122359
pressure,0.27569513618045116,0.3183456396822155,0.339864247190117,0.010759303753950733
pressure,0.2781797120964912,0.3175690889067097,0.338850850658268,0.010640880875779135
pressure,0.28066428801253135,0.31679253813120395,0.3378374541264189,0.010522457997607482
pressure,0.2831488639285714,0.31601598735569814,0.3368240575945699,0.010404035119435884
pressure,0.28563343984461154,0.3152394365801923,0.33581066106272084,0.010285612241264258
pressure,0.28811801576065166,0.3144628858046865,0.33479726453087183,0.01016718936309266
pressure,0.2906025916766917,0.31361549546560663,0.3336510962134482,0.010017800373920777
pressure,0.29308716759273185,0.3126379305892998,0.3322609469216658,0.009811508166183008
pressure,0.2955717435087719,0.31166036571299294,0.3308707976298835,0.009605215958445268
pressure,0.29805631942481203,0.3106828008366861,0.3294806483381011,0.0093989237507075
pressure,0.30054089534085215,0.30970523596037924,0.32809049904631876,0.00919263154296976
pressure,0.3030254712568922,0.3087276710840724,0.3267003497545364,0.008986339335231991
pressure,0.30551004717293234,0.3077248728171836,0.325310200462754,0.008792663822785207
pressure,0.30799462308897246,0.30658088409579826,0.3237442152213774,0.008581665562789581
pressure,0.31047919900501253,0.30537561944137454,0.3220734085446244,0.008348894551624936
pressure,0.31296377492105265,0.30417035478695076,0.3204026018678714,0.008116123540460318
pressure,0.3154483508370927,0.302965090132527,0.31873179519111844,0.007883352529295728
pressure,0.31793292675313284,0.30175982547810326,0.3170609885143654,0.007650581518131083
pressure,0.32041750266917296,0.3005545608236795,0.3153901818376124,0.007417810506966466
pressure,0.322902078585213,0.2993492961692557,0.31371937516085946,0.007185039495801876
pressure,0.32538665450125315,0.29767937910047243,0.3119704242200159,0.007145522559771744
pressure,0.3278712304172932,0.29595841888096647,0.3102128889496246,0.007127235034329077
pressure,0.33035580633333334,0.2942374586614605,0.3084553536792332,0.007108947508886354
pressure,0.33284038224937346,0.29251649844195454,0.30669781840884186,0.007090659983443659
pressure,0.3353249581654135,0.2907955382224486,0.3049402831384505,0.007072372458000964
pressure,0.33780953408145364,0.2890745780029426,0.30318274786805915,0.007054084932558269
pressure,0.34029410999749377,0.2873813164619651,0.301505728195031,0.007062205866532972
pressure,0.34277868591353383,0.28577079286278434,0.3002079550887515,0.007218581112983569
pressure,0.34526326182957395,0.28413164125396,0.2989101819824719,0.007389270364255934
pressure,0.347747837745614,0.28249248964513574,0.2976124088761923,0.007559959615528272
pressure,0.35023241366165414,0.2808533380363114,0.2963146357699127,0.007730648866800638
pressure,0.35271698957769426,0.2792141864274871,0.2950168626636331,0.007901338118073004
pressure,0.35520156549373433,0.2775750348186628,0.2937190895573535,0.008072027369345341
pressure,0.35768614140977445,0.2763040958517363,0.29256312651973854,0.008129515334001108
pressure,0.3601707173258145,0.2754950121941998,0.29158503823623344,0.008045013021016817
pressure,0.36265529324185464,0.27468592853666324,0.29060694995272834,0.007960510708032553
pressure,0.36513986915789476,0.27387684487912667,0.28962886166922325,0.00787600839504829
pressure,0.3676244450739348,0.2730677612215901,0.2886507733857182,0.007791506082064054
pressure,0.37010902098997495,0.2722586775640536,0.2876726851022131,0.007707003769079762
pressure,0.37259359690601507,0.271449593906517,0.286694596818708,0.0076225014560954985
pressure,0.37507817282205513,0.27041685151882033,0.28558912534518244,0.007586136913181052
pressure,0.37756274873809526,0.2692927776928486,0.284431636720579,0.007569429513865189
pressure,0.3800473246541353,0.26816870386687686,0.28327414809597545,0.007552722114549298
pressure,0.38253190057017544,0.26704463004090506,0.28211665947137193,0.007536014715233436
pressure,0.38501647648621556,0.2659205562149333,0.28095917084676847,0.007519307315917573
pressure,0.38750105240225563,0.2647964823889616,0.27980168222216495,0.007502599916601682
pressure,0.38998562831829575,0.2636724085629898,0.27864419359756143,0.007485892517285819
pressure,0.3924702042343359,0.26255311390412,0.2776791846006578,0.0075630353482689094
pressure,0.39495478015037594,0.2614339342265107,0.27671880644208335,0.007642436107786338
pressure,0.39743935606641606,0.2603147545489013,0.2757584282835088,0.007721836867303766
pressure,0.3999239319824561,0.25919557487129197,0.27479805012493436,0.007801237626821195
pressure,0.40240850789849625,0.2580763951936826,0.2738376719663599,0.007880638386338651
pressure,0.40489308381453637,0.2569572155160732,0.2728772938077854,0.007960039145856107
pressure,0.40737765973057644,0.25597959427702865,0.27194729050839367,0.007983848115682507
pressure,0.40986223564661656,0.2554538625241303,0.27111425125895217,0.00783019436741092
pressure,0.4123468115626566,0.25492813077123194,0.2702812120095106,0.007676540619139333
pressure,0.41483138747869674,0.2544023990183336,0.26944817276006905,0.007522886870867718
pressure,0.41731596339473687,0.25387666726543523,0.2686151335106275,0.0073692331225961305
pressure,0.41980053931077693,0.2533509355125369,0.267782094261186,0.007215579374324543
pressure,0.42228511522681705,0.2528252037596385,0.26694905501174443,0.007061925626052956
pressure,0.4247696911428572,0.25197173807668416,0.2660409548373319,0.007034608380323881
pressure,0.42725426705889724,0.25078969485241426,0.26505760052560245,0.0071339528365940985
pressure,0.42973884297493736,0.24960765162814436,0.26407424621387304,0.0072332972928643435
pressure,0.43222341889097743,0.24842560840387445,0.26309089190214363,0.0073326417491345885
pressure,0.43470799480701755,0.24724356517960455,0.26210753759041416,0.007431986205404806
pressure,0.43719257072305767,0.24606152195533462,0.2611241832786847,0.007531330661675037
pressure,0.43967714663909774,0.24487947873106472,0.2601408289669553,0.007630675117945282
pressure,0.44216172255513786,0.24380350062606784,0.2595433489062929,0.00786992414011252
pressure,0.4446462984711779,0.24276098389824435,0.2590676042846226,0.008153310193189128
